t,u,v,w,p,q,r,e0,e1,e2,e3,Xe,Ye,h,throttle,elevator,aileron,rudder,Fx,Fy,Fz,Mx,My,Mz
0.01,16.7872,8.28018e-05,2.68254,-0.01304,0.0255808,0.168103,0.88093,0.16836,7.03242e-10,-0.442287,0.0980825,-0.138852,99.9997,0.511952,-0.430396,-0.0189893,-0.0177999,0.950094,31.524,-4.72459,0.00260874,-0.000779342,0.000221531
0.02,16.7874,0.000177214,2.68254,-0.0130425,0.0255819,0.168104,0.881312,0.168359,7.72089e-09,-0.441525,0.1964,-0.277541,99.9994,0.511952,-0.430396,-0.0189893,-0.0177999,0.977497,31.5372,-4.72587,0.00243945,-0.000686391,0.000338595
0.03,16.7876,0.000282947,2.68254,-0.013047,0.0255839,0.168105,0.881694,0.168358,2.85646e-08,-0.440763,0.294952,-0.416065,99.999,0.511952,-0.430396,-0.0189893,-0.0177999,1.00486,31.5502,-4.7273,0.00227379,-0.000581873,0.000465781
0.04,16.7878,0.0003997,2.68253,-0.0130535,0.0255868,0.168107,0.882075,0.168357,7.10105e-08,-0.44,0.39374,-0.554424,99.9986,0.511952,-0.430396,-0.0189893,-0.0177999,1.0322,31.5631,-4.72888,0.00211212,-0.000466294,0.000602663
0.05,16.7881,0.000527165,2.68253,-0.0130617,0.0255908,0.168109,0.882455,0.168355,1.43074e-07,-0.439237,0.492762,-0.692617,99.9982,0.511952,-0.430396,-0.0189893,-0.0177999,1.05949,31.5759,-4.7306,0.00195475,-0.00034019,0.000748818
0.06,16.7884,0.000665026,2.68253,-0.0130717,0.025596,0.168112,0.882835,0.168354,2.52985e-07,-0.438473,0.592019,-0.830646,99.9977,0.511952,-0.430396,-0.0189893,-0.0177999,1.08675,31.5886,-4.73248,0.00180198,-0.000204121,0.00090382
0.07,16.7887,0.00081296,2.68252,-0.0130835,0.0256024,0.168116,0.883215,0.168352,4.09163e-07,-0.43771,0.69151,-0.968509,99.9971,0.511952,-0.430396,-0.0189893,-0.0177999,1.11397,31.6012,-4.7345,0.00165405,-5.86676e-05,0.00106725
0.08,16.789,0.000970636,2.68251,-0.0130969,0.02561,0.168121,0.883593,0.16835,6.20191e-07,-0.436945,0.791237,-1.10621,99.9965,0.511952,-0.430396,-0.0189893,-0.0177999,1.14116,31.6137,-4.73668,0.00151118,9.55751e-05,0.00123867
0.09,16.7894,0.00113772,2.68251,-0.0131119,0.0256191,0.168127,0.883971,0.168348,8.94792e-07,-0.436181,0.891198,-1.24374,99.9959,0.511952,-0.430396,-0.0189893,-0.0177999,1.16831,31.626,-4.73902,0.00137358,0.000257999,0.00141768
0.1,16.7898,0.00131386,2.6825,-0.0131284,0.0256296,0.168134,0.884349,0.168346,1.2418e-06,-0.435416,0.991393,-1.3811,99.9952,0.511952,-0.430396,-0.0189893,-0.0177999,1.19542,31.6382,-4.74152,0.00124141,0.00042799,0.00160385
0.11,16.7902,0.00149872,2.68249,-0.0131463,0.0256417,0.168141,0.884725,0.168344,1.67016e-06,-0.434651,1.09182,-1.5183,99.9945,0.511952,-0.430396,-0.0189893,-0.0177999,1.2225,31.6503,-4.74418,0.00111482,0.000604928,0.00179676
0.12,16.7906,0.00169195,2.68249,-0.0131656,0.0256553,0.16815,0.885102,0.168341,2.18884e-06,-0.433885,1.19249,-1.65533,99.9938,0.511952,-0.430396,-0.0189893,-0.0177999,1.24954,31.6623,-4.747,0.000993945,0.000788195,0.001996
0.13,16.7911,0.00189318,2.68248,-0.0131863,0.0256705,0.16816,0.885477,0.168338,2.80691e-06,-0.433119,1.29339,-1.79219,99.9929,0.511952,-0.430396,-0.0189893,-0.0177999,1.27654,31.6742,-4.75,0.000878892,0.000977175,0.00220115
0.14,16.7916,0.00210206,2.68247,-0.0132081,0.0256874,0.168171,0.885852,0.168336,3.53341e-06,-0.432353,1.39452,-1.92889,99.9921,0.511952,-0.430396,-0.0189893,-0.0177999,1.30351,31.6859,-4.75317,0.000769755,0.00117126,0.00241179
0.15,16.7921,0.00231823,2.68246,-0.0132311,0.0257061,0.168183,0.886226,0.168333,4.37742e-06,-0.431586,1.49589,-2.06542,99.9912,0.511952,-0.430396,-0.0189893,-0.0177999,1.33044,31.6976,-4.75652,0.000666613,0.00136984,0.00262752
0.16,16.7926,0.00254131,2.68246,-0.0132551,0.0257264,0.168196,0.8866,0.168329,5.34796e-06,-0.430819,1.59749,-2.20178,99.9903,0.511952,-0.430396,-0.0189893,-0.0177999,1.35733,31.7091,-4.76005,0.000569532,0.00157234,0.00284794
0.17,16.7932,0.00277094,2.68245,-0.0132802,0.0257486,0.16821,0.886973,0.168326,6.45404e-06,-0.430052,1.69933,-2.33797,99.9893,0.511952,-0.430396,-0.0189893,-0.0177999,1.38419,31.7206,-4.76377,0.000478563,0.00177818,0.00307263
0.18,16.7938,0.00300676,2.68244,-0.0133062,0.0257725,0.168226,0.887346,0.168322,7.70459e-06,-0.429284,1.8014,-2.47399,99.9883,0.511952,-0.430396,-0.0189893,-0.0177999,1.41101,31.7319,-4.76768,0.000393742,0.0019868,0.0033012
0.19,16.7944,0.00324838,2.68244,-0.013333,0.0257983,0.168243,0.887718,0.168318,9.10846e-06,-0.428516,1.9037,-2.60985,99.9872,0.511952,-0.430396,-0.0189893,-0.0177999,1.4378,31.7431,-4.77178,0.000315099,0.00219767,0.00353325
0.2,16.795,0.00349545,2.68243,-0.0133606,0.0258259,0.168261,0.888089,0.168314,1.06744e-05,-0.427747,2.00624,-2.74553,99.9861,0.511952,-0.430396,-0.0189893,-0.0177999,1.46455,31.7542,-4.77608,0.000242647,0.00241025,0.00376839
0.21,16.7957,0.00374758,2.68243,-0.0133888,0.0258554,0.16828,0.88846,0.16831,1.24111e-05,-0.426978,2.10902,-2.88105,99.985,0.511952,-0.430396,-0.0189893,-0.0177999,1.49127,31.7652,-4.78059,0.000176392,0.00262406,0.00400623
0.22,16.7964,0.00400441,2.68243,-0.0134177,0.0258867,0.168301,0.88883,0.168306,1.4327e-05,-0.426208,2.21202,-3.01639,99.9838,0.511952,-0.430396,-0.0189893,-0.0177999,1.51795,31.7761,-4.7853,0.00011633,0.00283861,0.00424638
0.23,16.7971,0.00426556,2.68243,-0.0134472,0.02592,0.168323,0.8892,0.168301,1.64305e-05,-0.425438,2.31526,-3.15157,99.9825,0.511952,-0.430396,-0.0189893,-0.0177999,1.5446,31.7869,-4.79023,6.24471e-05,0.00305346,0.00448848
0.24,16.7978,0.00453066,2.68243,-0.0134771,0.025955,0.168346,0.889569,0.168297,1.87297e-05,-0.424668,2.41874,-3.28657,99.9813,0.511952,-0.430396,-0.0189893,-0.0177999,1.57121,31.7976,-4.79537,1.47201e-05,0.00326818,0.00473214
0.25,16.7985,0.00479935,2.68243,-0.0135074,0.025992,0.168371,0.889938,0.168292,2.12328e-05,-0.423897,2.52245,-3.4214,99.9799,0.511952,-0.430396,-0.0189893,-0.0177999,1.59778,31.8083,-4.80072,-2.6882e-05,0.00348237,0.00497701
0.26,16.7993,0.00507125,2.68243,-0.013538,0.0260308,0.168397,0.890306,0.168287,2.39476e-05,-0.423126,2.62639,-3.55607,99.9786,0.511952,-0.430396,-0.0189893,-0.0177999,1.62432,31.8188,-4.8063,-6.23982e-05,0.00369565,0.00522271
0.27,16.8001,0.00534601,2.68244,-0.0135689,0.0260714,0.168425,0.890673,0.168281,2.68817e-05,-0.422354,2.73056,-3.69056,99.9772,0.511952,-0.430396,-0.0189893,-0.0177999,1.65082,31.8292,-4.81211,-9.18753e-05,0.00390768,0.0054689
0.28,16.8009,0.00562326,2.68244,-0.0136,0.0261139,0.168454,0.89104,0.168276,3.00425e-05,-0.421582,2.83497,-3.82488,99.9757,0.511952,-0.430396,-0.0189893,-0.0177999,1.67729,31.8395,-4.81815,-0.000115367,0.00411812,0.00571523
0.29,16.8018,0.00590264,2.68245,-0.0136312,0.0261583,0.168484,0.891406,0.16827,3.34374e-05,-0.420809,2.93962,-3.95903,99.9742,0.511952,-0.430396,-0.0189893,-0.0177999,1.70372,31.8498,-4.82442,-0.000132935,0.00432669,0.00596135
0.3,16.8027,0.00618379,2.68246,-0.0136624,0.0262044,0.168516,0.891772,0.168265,3.70733e-05,-0.420036,3.04449,-4.093,99.9727,0.511952,-0.430396,-0.0189893,-0.0177999,1.73012,31.8599,-4.83092,-0.000144645,0.00453312,0.00620693
0.31,16.8036,0.00646637,2.68248,-0.0136936,0.0262523,0.168549,0.892137,0.168259,4.0957e-05,-0.419262,3.1496,-4.22681,99.9711,0.511952,-0.430396,-0.0189893,-0.0177999,1.75648,31.87,-4.83766,-0.000150572,0.00473716,0.00645164
0.32,16.8045,0.00675002,2.68249,-0.0137247,0.0263019,0.168584,0.892501,0.168253,4.50951e-05,-0.418488,3.25494,-4.36044,99.9695,0.511952,-0.430396,-0.0189893,-0.0177999,1.7828,31.88,-4.84464,-0.000150796,0.0049386,0.00669517
0.33,16.8054,0.0070344,2.68251,-0.0137556,0.0263534,0.16862,0.892865,0.168246,4.9494e-05,-0.417713,3.36052,-4.4939,99.9678,0.511952,-0.430396,-0.0189893,-0.0177999,1.80908,31.8899,-4.85187,-0.0001454,0.00513723,0.0069372
0.34,16.8064,0.00731918,2.68253,-0.0137863,0.0264065,0.168657,0.893229,0.16824,5.41598e-05,-0.416938,3.46633,-4.62718,99.9661,0.511952,-0.430396,-0.0189893,-0.0177999,1.83533,31.8998,-4.85934,-0.000134477,0.00533291,0.00717743
0.35,16.8073,0.00760401,2.68255,-0.0138167,0.0264613,0.168696,0.893592,0.168233,5.90982e-05,-0.416163,3.57237,-4.76029,99.9643,0.511952,-0.430396,-0.0189893,-0.0177999,1.86153,31.9095,-4.86706,-0.000118122,0.00552548,0.00741556
0.36,16.8084,0.00788857,2.68258,-0.0138468,0.0265178,0.168736,0.893954,0.168227,6.43151e-05,-0.415386,3.67865,-4.89323,99.9625,0.511952,-0.430396,-0.0189893,-0.0177999,1.8877,31.9192,-4.87503,-9.64356e-05,0.00571482,0.0076513
0.37,16.8094,0.00817253,2.68261,-0.0138764,0.0265759,0.168777,0.894316,0.16822,6.98157e-05,-0.414609,3.78516,-5.02599,99.9607,0.511952,-0.430396,-0.0189893,-0.0177999,1.91383,31.9288,-4.88325,-6.95224e-05,0.00590084,0.00788437
0.38,16.8104,0.00845557,2.68264,-0.0139056,0.0266356,0.16882,0.894677,0.168213,7.56052e-05,-0.413832,3.8919,-5.15858,99.9588,0.511952,-0.430396,-0.0189893,-0.0177999,1.93992,31.9384,-4.89172,-3.74922e-05,0.00608346,0.0081145
0.39,16.8115,0.0087374,2.68267,-0.0139343,0.0266969,0.168864,0.895038,0.168206,8.16886e-05,-0.413054,3.99887,-5.29099,99.9569,0.511952,-0.430396,-0.0189893,-0.0177999,1.96596,31.9479,-4.90044,-4.58587e-07,0.00626262,0.00834144
0.4,16.8126,0.00901769,2.68271,-0.0139624,0.0267597,0.16891,0.895398,0.168199,8.80706e-05,-0.412276,4.10608,-5.42323,99.9549,0.511952,-0.430396,-0.0189893,-0.0177999,1.99197,31.9573,-4.90942,4.14611e-05,0.00643829,0.00856492
0.41,16.8137,0.00929615,2.68274,-0.0139898,0.026824,0.168956,0.895758,0.168191,9.47557e-05,-0.411497,4.21352,-5.5553,99.9529,0.511952,-0.430396,-0.0189893,-0.0177999,2.01793,31.9667,-4.91865,8.81459e-05,0.00661044,0.0087847
0.42,16.8149,0.00957249,2.68279,-0.0140166,0.0268898,0.169004,0.896117,0.168184,0.000101748,-0.410717,4.32119,-5.68718,99.9508,0.511952,-0.430396,-0.0189893,-0.0177999,2.04385,31.976,-4.92814,0.000139471,0.00677909,0.00900055
0.43,16.816,0.00984642,2.68283,-0.0140426,0.0269571,0.169054,0.896475,0.168176,0.000109052,-0.409937,4.42909,-5.8189,99.9487,0.511952,-0.430396,-0.0189893,-0.0177999,2.06973,31.9853,-4.93788,0.000195311,0.00694424,0.00921224
0.44,16.8172,0.0101177,2.68288,-0.0140679,0.0270258,0.169104,0.896834,0.168169,0.000116671,-0.409156,4.53723,-5.95043,99.9466,0.511952,-0.430396,-0.0189893,-0.0177999,2.09556,31.9945,-4.94788,0.000255533,0.00710593,0.00941955
0.45,16.8184,0.010386,2.68293,-0.0140923,0.0270959,0.169156,0.897191,0.168161,0.000124609,-0.408375,4.6456,-6.08179,99.9444,0.511952,-0.430396,-0.0189893,-0.0177999,2.12134,32.0036,-4.95814,0.000320005,0.0072642,0.00962227
0.46,16.8197,0.010651,2.68298,-0.0141158,0.0271674,0.169209,0.897548,0.168153,0.000132869,-0.407593,4.7542,-6.21297,99.9422,0.511952,-0.430396,-0.0189893,-0.0177999,2.14708,32.0128,-4.96865,0.000388592,0.00741911,0.00982021
0.47,16.8209,0.0109126,2.68303,-0.0141384,0.0272402,0.169263,0.897904,0.168145,0.000141455,-0.406811,4.86303,-6.34398,99.9399,0.511952,-0.430396,-0.0189893,-0.0177999,2.17277,32.0218,-4.97942,0.000461157,0.00757072,0.0100132
0.48,16.8222,0.0111705,2.68309,-0.0141601,0.0273143,0.169319,0.89826,0.168137,0.00015037,-0.406027,4.9721,-6.4748,99.9376,0.511952,-0.430396,-0.0189893,-0.0177999,2.19842,32.0309,-4.99044,0.000537559,0.00771912,0.010201
0.49,16.8235,0.0114244,2.68315,-0.0141807,0.0273897,0.169375,0.898616,0.168129,0.000159616,-0.405244,5.0814,-6.60545,99.9352,0.511952,-0.430396,-0.0189893,-0.0177999,2.22401,32.0399,-5.00172,0.000617657,0.00786439,0.0103835
0.5,16.8248,0.0116742,2.68322,-0.0142003,0.0274663,0.169433,0.89897,0.168121,0.000169196,-0.404459,5.19093,-6.73592,99.9328,0.511952,-0.430396,-0.0189893,-0.0177999,2.24955,32.0488,-5.01326,0.000701309,0.00800664,0.0105605
0.51,16.8261,0.0119195,2.68328,-0.0142188,0.0275442,0.169491,0.899325,0.168113,0.000179114,-0.403674,5.30069,-6.86621,99.9304,0.511952,-0.430396,-0.0189893,-0.0177999,2.27504,32.0577,-5.02505,0.00078837,0.00814596,0.0107319
0.52,16.8275,0.0121602,2.68335,-0.0142363,0.0276233,0.169551,0.899679,0.168105,0.00018937,-0.402889,5.41068,-6.99633,99.9279,0.511952,-0.430396,-0.0189893,-0.0177999,2.30048,32.0666,-5.03709,0.000878695,0.00828247,0.0108974
0.53,16.8289,0.012396,2.68343,-0.0142525,0.0277036,0.169612,0.900032,0.168096,0.000199969,-0.402103,5.52091,-7.12626,99.9254,0.511952,-0.430396,-0.0189893,-0.0177999,2.32587,32.0755,-5.04939,0.000972137,0.00841628,0.0110571
